,File,Text Segment,Code,Score
146,3639372.pdf,"Next,
we discuss how explanations can be used to debug and improve models (Section 3.3).",Actionability,0.8394955396652222
293,3639372.pdf,"In this
subsection, we discuss how explainability can be used as a tool to debug and improve models.",Actionability,0.8244635462760925
91,3639372.pdf,"In other words, explainability acts as a debugging aid to quickly advance model
performance on downstream tasks [Bastings et al.",Actionability,0.8173525929450989
568,3639372.pdf,"We
also discuss using explanations to improve models, evaluation, and key challenges.",Actionability,0.8096445202827454
88,3639372.pdf,"Second, for researchers and developers, explaining
model behaviors provides insight to identify unintended biases, risks, and areas for performance
improvements.",Actionability,0.8003413081169128
404,3639372.pdf,"5
EXPLANATION EVALUATION
In previous sections, we introduced different explanation techniques and their usages, but eval-
uating how faithfully they reflect a model’s reasoning process remains a challenge.",Actionability,0.7847214937210083
510,3639372.pdf,"This line of studies the faithfulness of explanations, i.e., examining how
well explanations reflect the actual reasons behind a model’s predictions.",Fidelity,0.7729343175888062
302,3639372.pdf,"Regularization techniques can be used to improve the performance
and reliability of model explanations.",Actionability,0.7721484303474426
2048,6658.pdf,"Simpler explanations are often preferred as they provide clearer insights into 
the model’s reasoning.",Actionability,0.7714948058128357
525,3639372.pdf,"More future research is needed to develop methods to
make model explanations better reflect the underlying reasons for predictions.",Actionability,0.7649888396263123
2578,2306.01941v2.pdf,"managing input uncertainty
in machine learning model explanations.",Actionability,0.7620856165885925
2339,2306.01941v2.pdf,One is to provide “intrinsic explanations” by exposing the model’s inner workings directly.,Fidelity,0.759316086769104
1030,3708519.pdf,"Model-specific
Explainability
The model should be able to explain its rational of producing certain code or decision.",Fidelity,0.7570301294326782
1789,Survey__Making_LLMs_Explainable_via_KRR.pdf,"Dimensions of Explanation
Explanation Target
Explainability methods can be classi-
fied based on the aspect of the model they target: input-level,
internal mechanisms, and output-level explanations.",Actionability,0.7556473612785339
488,3639372.pdf,"However, it remains unclear whether these explanations
actually help humans understand the model’s reasoning process and generalize to new inputs.",Actionability,0.7551628947257996
82,3639372.pdf,"First, for general end users, explainability builds appropriate
trust by elucidating the reasoning mechanism behind model predictions in an understandable man-
ner, without requiring technical expertise.",Fidelity,0.7514857053756714
2461,2306.01941v2.pdf,"Therefore, rather
than the why explanations about the model process for a specific output, global explanations about
the model logic, input and output spaces, as well as counterfactual explanations about how to improve
the input appear to be more useful for this kind of application.",Actionability,0.7487698793411255
717,28501-373-23195-1-10-20240518.pdf,"Explainability of LLMs Outputs
The works in this category of explainability aim on providing evidence to support a
model’s decision.",Fidelity,0.7481882572174072
2359,2306.01941v2.pdf,"Explanations can
13
be global, providing an overview of the model’s overall logic, or local, providing the reasoning behind a
particular model output.",Fidelity,0.7456490993499756
154,3639372.pdf,"In this scenario, the role of explanation is to clarify the process by which
the model generated the particular classification or token prediction.",Fidelity,0.7439342141151428
469,3639372.pdf,"There are two key questions that persist when evaluating explanation models, regardless of
the specific metrics used: (1) how well does the model quantify important features?",Fidelity,0.7395372986793518
1491,3596490.pdf,"To what extent do human explanations 
of model behavior align with actual model behavior?",Actionability,0.7389125823974609
75,3639372.pdf,"Explainability1 refers to the ability to explain or present the behavior of models in human-
understandable terms [Doshi-Velez and Kim 2017; Du et al.",Fidelity,0.7380349636077881
2059,6658.pdf,"This measure evaluates how explanations degrade 
when the data labels or model parameters are progressively randomized and assesses whether explanations 
genuinely reflect the underlying model behavior or are artifacts of randomness.",Actionability,0.737442672252655
497,3639372.pdf,"Similar to traditional explanations, we focus
on evaluating plausibility and faithfulness.",Robustness,0.7367966175079346
64,3639372.pdf,"We also discuss metrics for evaluating generated explanations and discuss how explanations can be leveraged
to debug models and improve performance.",Actionability,0.7348244786262512
205,3639372.pdf,"Example-based explanations intend to explain model be-
havior from the perspective of individual instances [Koh and Liang 2017].",Actionability,0.7337409257888794
1757,Survey__Making_LLMs_Explainable_via_KRR.pdf,"While the model might generate a sensible
and articulate answer, such an explanation is merely a post-
hoc rationalization, not a faithful representation of how the
decision was actually made.",Fidelity,0.7332761883735657
231,3639372.pdf,"As explanations provide additional
contextual space, they can improve downstream prediction accuracy and perform as a data aug-
mentation technique [Luo et al.",Actionability,0.733257532119751
1537,s40593-023-00336-3.pdf,"Model interpretability affords an institution the
ability to communicate to all concerned stakeholders how a predictive model works
in general terms using broad brush strokes.",Interpretability,0.7313802242279053
355,3639372.pdf,"Understanding the source of the models’ knowledge provides insight into how to improve and
interpret their performance.",Actionability,0.7304590940475464
1848,Survey__Making_LLMs_Explainable_via_KRR.pdf,"Faithfulness as-
sesses whether explanations reflect the model’s reasoning
rather than just appearing plausible.",Robustness,0.7297385334968567
1858,Survey__Making_LLMs_Explainable_via_KRR.pdf,"Comprehensiveness
evaluates whether explanations capture all relevant decision
factors.",Fidelity,0.7281831502914429
18,Developing_Explainable_AI_Models_for_Personalized_Treatment_Recommendations_Using_LLMs_and_EHR_Data.pdf,"Other popular methods
include SHapley Additive exPlanations (SHAP) and Local
Interpretable Model-agnostic Explanations (LIME) that have
found widespread application in explaining model behavior
[21].",Actionability,0.7242481708526611
1181,2506.12240v1.pdf,"rank correlation, distance) quality of our explanations compared to
the ground-truth explanations.",Robustness,0.7238830924034119
711,28501-373-23195-1-10-20240518.pdf,"This is better represented
by output explainability, where performance tests on established datasets enable compar-
ison between different model architectures and training forms.",Actionability,0.7229412794113159
1622,s40593-023-00336-3.pdf,"A case study involv-
ing two hypothetical students with non-completion predictions is then conducted to
demonstrate how model explainability can be leveraged to interrogate the models
about their reasoning for arriving at given predictions (Step 5) - two approaches to
achieve this are presented.",Actionability,0.719930112361908
366,3639372.pdf,"Specifically, it investigates whether
providing explanations for the answers to few-shot tasks can improve the model’s performance
on these tasks [Lampinen et al.",Actionability,0.7194665670394897
115,3639372.pdf,"In Section 5, we discuss the evaluation of explainability methods.",Fidelity,0.7171536684036255
1640,s40593-023-00336-3.pdf,"Model Explainability
Having achieved interpretation and validation of the predictive model, the next step is
to examine the model behaviour at an individual (or local) prediction level.",Fidelity,0.7164218425750732
861,Responsible_Generative_AI_A_Comprehensive_Study_to_Explain_LLMs.pdf,"Building upon the foundation laid by the 
visualization technique, [2] presents a method for generating 
interpretable explanations of black-box models through model 
distillation.",Actionability,0.7161862850189209
2389,2306.01941v2.pdf,"Despite the proliferation of approaches for providing explanations, the community has long debated
what it is that makes an explanation “good.” For a long list of goodness criteria, we point interested
readers to Sokol and Flach [172] and Carvalho et al.",Fidelity,0.7129906415939331
823,New_explainability_method_for_BERT-based_model_in_.pdf,"Therefore, by comparing the outputs from both methods, a user can gain 
an insight into the reasons behind the model decision.",Fidelity,0.7129881978034973
412,3639372.pdf,"Technically, evaluating explanation involves human or automated model approaches.",Fidelity,0.7120959162712097
70,3639372.pdf,"Therefore, it is critical to develop explainability to shed light on how these powerful
models work.",Fidelity,0.7109581232070923
672,Large_Language_Models_LLM_in_Industry_A_Survey_of_Applications_Challenges_and_Trends.pdf,"Discusses
model
align-
ment but no deep dive
into
explainability
solu-
tions.",Fidelity,0.7109274864196777
1799,Survey__Making_LLMs_Explainable_via_KRR.pdf,"Explanation Timing
Explainability methods apply at
design-time, pre-trained modification, and post-deployment.",Actionability,0.7102757692337036
1562,s40593-023-00336-3.pdf,"Model Interpretability in LA
Model interpretability is not only important for building trust, meeting compliance and
extracting maximal value from predictive systems, but it is also vital for developing
accurate predictive models.",Interpretability,0.7099109888076782
2335,2306.01941v2.pdf,"4.3
Providing Explanations
To support mechanistic understanding, there has been a wave of research on approaches to produce
explanations of a model’s internal processes and outputs, a line of research referred to as explainable AI
(XAI) or interpretable ML, depending on the community.",Actionability,0.7092630863189697
2043,6658.pdf,"• 
Complexity analyzes the simplicity of the model’s explanations, ensuring they were accessible and 
comprehensible to human users.",Interpretability,0.7084468007087708
209,3639372.pdf,"Unlike model-based or
feature-based explanations, example-based explanations illustrate how a model’s output changes
with different inputs.",Actionability,0.7083529829978943
