Authors,Title,Publication,Year,Publisher
"Beamish, David; Exarchakis, Georgios;",Large Language Models for Explainability in Machine Learning,,,
"Penicig, James; Chen, Benjamin; Wilson, Scott; Garcia, Sophia;",Assessing explainability in large language models through soft counterfactual analysis: A comparative study of google gemini and openai chatgpt,,2024,
"Ivanov, Yuri;",Understanding the inner workings of large language models: Interpretability and explainability,MZ Journal of Artificial Intelligence,2024,
"Quttainah, Majdi; Mishra, Vinaytosh; Madakam, Somayya; Lurie, Yotam; Mark, Shlomo;","Cost, usability, credibility, fairness, accountability, transparency, and explainability framework for safe and effective large language models in medical education: Narrative review and qualitative study",Jmir Ai,2024,"JMIR Publications Inc., Toronto, Canada"
"San Miguel, Gabriela Sanchez; Griffith, Henry; Silva, Jacob; Rathore, Heena;",Evaluating the Explainability of Large Language Models for Ethical Decision Making,2025 IEEE International Conference on Consumer Electronics (ICCE),2025,IEEE
"Ehsan, Upol; Watkins, Elizabeth A; Wintersberger, Philipp; Manger, Carina; Kim, Sunnie SY; Van Berkel, Niels; Riener, Andreas; Riedl, Mark O;",Human-centered explainable AI (HCXAI): Reloading explainability in the era of large language models (LLMs),Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,2024,
"Spitzer, Philipp; Celis, Sebastian; Martin, Dominik; Kühl, Niklas; Satzger, Gerhard;",Looking Through the Deep Glasses: How Large Language Models Enhance Explainability of Deep Learning Models,Proceedings of Mensch und Computer 2024,2024,
"Mohammadi, Seyedali; Raff, Edward; Malekar, Jinendra; Palit, Vedant; Ferraro, Francis; Gaur, Manas;",WellDunn: On the Robustness and Explainability of Language Models and Large Language Models in Identifying Wellness Dimensions,arXiv preprint arXiv:2406.12058,2024,
"Figênio, Mateus R; Santanché, André; Gomes-Jr, Luiz;",The Impact of Activation Patterns in the Explainability of Large Language Models–A Survey of recent advances,Escola Regional de Banco de Dados (ERBD),2024,SBC
"Wu, Shi; Zhou, Jianlong; Dong, Yifei; Chen, Fang;",Enhancing Explainability of Deep Learning-Based ECG Diagnosis Using Large Language Models,Proceedings of the 2024 8th International Conference on Advances in Artificial Intelligence,2024,
"Hu, Yuanyuan; Giacaman, Nasser; Donald, Claire;",Enhancing Trust in Generative AI: Investigating Explainability of LLMs to Analyse Confusion in MOOC Discussions.,LAK Workshops,2024,
"Chen, Guanxu; Liu, Dongrui; Luo, Tao; Shao, Jing;",SEER: Self-Explainability Enhancement of Large Language Models' Representations,arXiv preprint arXiv:2502.05242,2025,
"Amara, Jihen; König-Ries, Birgitta; Samuel, Sheeba;",Enhancing explainability in multimodal large language models using ontological context,arXiv preprint arXiv:2409.18753,2024,
"Tan, Ting Fang; Elangovan, Kabilan; Ong, Jasmine; Shah, Nigam; Sung, Joseph; Wong, Tien Yin; Xue, Lan; Liu, Nan; Wang, Haibo; Kuo, Chang Fu;","A proposed score evaluation framework for large language models: Safety, consensus, objectivity, reproducibility and explainability",arXiv preprint arXiv:2407.07666,2024,
"Bogaert, Jeremie; Standaert, François-Xavier;",A question on the explainability of large language models and the word-level univariate first-order plausibility assumption,arXiv preprint arXiv:2403.10275,2024,
"Held, Jan; Itani, Hani; Cioppa, Anthony; Giancola, Silvio; Ghanem, Bernard; Van Droogenbroeck, Marc;",X-vars: Introducing explainability in football refereeing with multi-modal large language models,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,2024,
"Pramanik, Vishal; Maliha, Maisha; Jha, Sumit Kumar;",Enhancing Integrated Gradients Using Emphasis Factors and Attention for Effective Explainability of Large Language Models,,,
"Tan, Ting Fang; Elangovan, Kabilan; Ong, Jasmine Chiat Ling; Lee, Aaron; Shah, Nigam H; Sung, Joseph JY; Wong, Tien Yin; Lan, Xue; Liu, Nan; Wang, Haibo;","A Proposed SCORE Evaluation Framework for Large Language Models–Safety, Consensus & Context, Objectivity, Reproducibility and Explainability","Consensus & Context, Objectivity, Reproducibility and Explainability",,
"Chen, Yanfang; Chen, Ding; Song, Shichao; Niu, Simin; Wang, Hanyu; Tang, Zeyun; Xiong, Feiyu; Li, Zhiyu;",Hrde: Retrieval-augmented large language models for chinese health rumor detection and explainability,arXiv preprint arXiv:2407.00668,2024,
"Paul, Anthony Lawrence;",Improving Explainability in Large Language Models (LLMs),,,
"Shui, Xia; Ru, Zhihao;",Bridging the Gap Between Explainability and Large Language Models,,2025,
"Li, Lingfang; Sen, Procheta;",Unraveling the Influence of Training Data and Internal Structures in Large Language Models for Enhanced Explainability (Student Abstract),Proceedings of the AAAI Conference on Artificial Intelligence,2025,
"Romero, Ma Angelina Alarcón; Trejo, José Antonio Orizaga; Mota, Daniel Hernández; Villalpando, Luis Fernando Baltazar; Herrera, Ma Hidalia Cruz;","Enhancing Explainability, Privacy, and Fairness in Recidivism Prediction through Local LLMs and Synthetic data",International Journal of Combinatorial Optimization Problems and Informatics,2025,International Journal of Combinatorial Optimization Problems & Informatics
