,File,Text Segment,Code,Score
3,000538538.pdf,"Completeness
The depth and thoroughness of the outputs were measured
using the following criteria [18]: incomplete = addresses some
aspects of the question, but signiﬁcant parts are missing or in-
complete; adequate = addresses all aspects of the question and
provides the minimum amount of information required to be
considered complete; comprehensive = addresses all aspects of the
question and provides additional information or context beyond
what was expected.",Correctness,0.5534309148788452
6,000538538.pdf,"The study further delved into the aspect of completeness,
evaluating the completeness of the outputs generated by
these LLMs.",Correctness,0.5684441328048706
8,2312.01639v7.pdf,"[26] hypothesized that existing benchmarks, which
rely on curated synthesis problems and test cases, may be insuf-
ficient for fully assessing the functional correctness of generated
code.",Correctness,0.6168819665908813
9,2312.01639v7.pdf,"They proposed EvalPlus, a code synthesis evaluation frame-
work designed to rigorously benchmark the functional correctness
of LLM-generated code .",Correctness,0.5637935400009155
13,2312.01639v7.pdf,"We compare the model-
generated code against the ground-truth one in the original function
and compute the evaluation metrics.",Correctness,0.5549391508102417
14,2312.01639v7.pdf,"We compare the model-
generated code against the ground-truth one in the original function
and compute the evaluation metrics.",Error Propagation,0.5643303394317627
17,2312.01639v7.pdf,"We check if the generated
code has implemented the desired functionality as in the original ref-
erence code, and we pay particular attention to the invoke of domain
libraries.",Correctness,0.6015478372573853
19,2312.01639v7.pdf,"We hereby summarize common mistakes
that appear in the model-generated code (Figure 1).",Error Propagation,0.6195858120918274
21,2312.01639v7.pdf,"Under both the zero-shot and the fine-tuning settings, BLEU
and CodeBLEU scores rise when the model is knowledge-enhanced,
and the chain-of-thought fine-tuning strategy reaches the best scores.",Benchmark Performance,0.5871275663375854
25,2312.01639v7.pdf,"Regarding the evaluation metrics, we have utilized
BLEU and CodeBLEU.",Benchmark Performance,0.6609589457511902
31,2305.03111v2.pdf,"In this case, the VES metric could consider both the efficiency
and accuracy of execution results, providing a comprehensive evaluation of a model’s performance.",Benchmark Performance,0.6751278638839722
46,2308.04477v1.pdf,"Speciﬁcally, the focus is on
comprehending the fundamental characteristics that contribute
to certain languages being more suitable for code generation
than others.",Correctness,0.57192063331604
48,2308.04477v1.pdf,"Speciﬁcally, the focus is on
comprehending the fundamental characteristics that contribute
to certain languages being more suitable for code generation
than others.",Human-Perceived Accuracy,0.5972805619239807
49,2308.04477v1.pdf,"3) We identify some critical limitations of the model and
propose possible directions for further investigation on
automated code development.",Security,0.559445858001709
54,2308.04477v1.pdf,"Other than this, however,
the way the output code is presented is also highly variable.",Correctness,0.5546194314956665
56,2308.04477v1.pdf,"This aims at
providing clear indications on how we expect the output to
be structured.",Correctness,0.5915960073471069
57,2308.04477v1.pdf,"When the output O is correctly generated, it undergoes post-
processing to achieve two objectives, 1) Code Differentiation,
i.e.",Correctness,0.6290440559387207
61,2308.04477v1.pdf,"6) Execution - Success: the code was generated, eventually
compiled, and the execution is successful.",Correctness,0.68565434217453
62,2308.04477v1.pdf,"6) Execution - Success: the code was generated, eventually
compiled, and the execution is successful.",Human-Perceived Accuracy,0.563570499420166
65,2308.04477v1.pdf,"Speciﬁcally, let
T be the set of 40 tasks deﬁned in Section III-C and L be
the set of tested languages; let Gℓ,t be the time employed by
the model to generate the code for task t in ℓ, and µl,t, the
mean time spent to generate code for task t across L. Then,
our score Pℓis deﬁned as:
Pℓ= µt∈T
Gℓ,t
µl∈L,t
(1)
Figure 2 illustrates the score Pℓobtained for each language.",Error Propagation,0.5621208548545837
68,2308.04477v1.pdf,"In particular,
we evaluate the length of the code based on two metrics, 1)
Lines of Code (LoC), excluding blank lines, 2) Number of
Characters (NoC), excluding spaces.",Correctness,0.5849334597587585
71,2308.04477v1.pdf,"To provide a reasonable evaluation of the model’s per-
formance relative to the code length, we employ the same
methodology described in Section IV-C.",Correctness,0.5553301572799683
73,2308.04477v1.pdf,"To provide a reasonable evaluation of the model’s per-
formance relative to the code length, we employ the same
methodology described in Section IV-C.",Error Propagation,0.6690679788589478
74,2308.04477v1.pdf,"To provide a reasonable evaluation of the model’s per-
formance relative to the code length, we employ the same
methodology described in Section IV-C.",Benchmark Performance,0.6372687816619873
75,2308.04477v1.pdf,"Similarly as for the time performance, we are also interested
in understanding the degree of variability in the length of the
generated code.",Correctness,0.558488130569458
76,2308.04477v1.pdf,"Similarly as for the time performance, we are also interested
in understanding the degree of variability in the length of the
generated code.",Error Propagation,0.5901764035224915
77,2308.04477v1.pdf,"Nonetheless, despite its limitations, observing the length of
the code generated by ChatGPT can provide some insights into
the model’s ability to produce concise and efﬁcient solutions.",Error Propagation,0.5609741806983948
83,2308.04477v1.pdf,"This shows
that the undeterminism of the model does not only relate
to the production of code but also to the understanding
and assessment of the task.",Error Propagation,0.558945894241333
86,2308.04477v1.pdf,"These models
can serve as valuable tools for developers, offering assistance
in tasks such as code completion, bug identiﬁcation, and
code refactoring.",Security,0.5542086362838745
89,2308.04477v1.pdf,"In the future, we plan to extend our performance
evaluation to these models as well.",Benchmark Performance,0.571260929107666
91,2308.04477v1.pdf,"Nevertheless, this
behavior often leads to inconsistent performance, since
the model generates syntactically correct code for a given
task in some instances, while producing bugged code
or no code at all in other instances.",Error Propagation,0.6402642726898193
92,2308.04477v1.pdf,"2) The performance of the model largely varies based on
the chosen language, in terms of syntactical correctness
of the code, its length and the time employed to generate
it.",Error Propagation,0.5944000482559204
97,cmh-2023-0089.pdf,"The model was able to correctly an­
swer 20 of these measures, resulting in an overall accuracy of 
76.9%.",Benchmark Performance,0.5839784145355225
106,2023.eacl-main.199.pdf,"Interestingly, the
metrics are much higher when the model predic-
tion on the Main Input is correct (Table 3).",Benchmark Performance,0.5984604358673096
108,2023.eacl-main.199.pdf,"Henceforth we evaluate methods according to their
ability to update model beliefs to be true.",Benchmark Performance,0.6100435256958008
118,Comparing_Accuracy_and_Consistency_LLMs_vs._SOTA_Deep_Learning_Models_in_Text-to-SQL.pdf,"This metric, introduced in the BIRD benchmark [3], ensures
the reliability of the VES metric by averaging the execution ef-
ficiency R(Yn, ˆYn) over 100 runs for each example, providing
a stable assessment of the model’s performance.",Benchmark Performance,0.5843828916549683
119,Comparing_Accuracy_and_Consistency_LLMs_vs._SOTA_Deep_Learning_Models_in_Text-to-SQL.pdf,"Evaluation Metrics - Results and Analysis
Table I presents the Exact Match, Execution Accuracy, and
VES scores for all models evaluated on the Spider dataset.",Benchmark Performance,0.5682915449142456
123,Comparing_Accuracy_and_Consistency_LLMs_vs._SOTA_Deep_Learning_Models_in_Text-to-SQL.pdf,"The metrics also consider how models perform across
different levels of SQL complexity, providing a comprehensive
view of model robustness in varying scenarios.",Error Propagation,0.5528152585029602
125,Comparing_Accuracy_and_Consistency_LLMs_vs._SOTA_Deep_Learning_Models_in_Text-to-SQL.pdf,"Consistency can be incorporated into other metrics, such as
the F1 score being newly introduced in the BIRD benchmark
[3].",Benchmark Performance,0.581244945526123
127,Comparing_Accuracy_and_Consistency_LLMs_vs._SOTA_Deep_Learning_Models_in_Text-to-SQL.pdf,"These extensions expand the definition of consistency,
enhancing its relevance in evaluating model performance.",Benchmark Performance,0.6021908521652222
138,2406.13972v2.pdf,"Each incorrect code is accompanied by problem description (Fig-
ure 1a), tutor guidance (Figure 1b), solution description (Figure 1c),
and failing test cases (Figure 1d).",Error Propagation,0.5521547198295593
147,2406.13972v2.pdf,"6
THREATS TO VALIDITY
Threats to External Validity.",Human-Perceived Accuracy,0.5612010359764099
148,2406.13972v2.pdf,"To mitigate risks associ-
ated with metric selection and ensure accurate evaluation results,
ISSTA 2024, 16-20 September, 2024, Vienna, Austria
Yang and Tian et al
we selected metrics TOP-5, AVG-5, and the RPSR.",Benchmark Performance,0.5506691336631775
149,2406.13972v2.pdf,"These metrics
are well-known for measuring the correctness and precision of
LLMs.",Benchmark Performance,0.5556858777999878
157,2406.13972v2.pdf,"In Proceedings of the 25th interna-
tional symposium on software testing and analysis.",Correctness,0.5522605776786804
163,2210.03696v2.pdf,"This innovative methodology is designed to operate
effectively under realistic scenarios, offering a more robust evaluation of the model’s performance.",Benchmark Performance,0.586478590965271
173,2210.03696v2.pdf,"It is worth noting that, due to the unique nature of code generation
tasks, for the evaluation of the CodeGen model, we have made modifications to the stopping
criteria.",Error Propagation,0.5787152051925659
176,2305.01210v3.pdf,"However, these test-cases
can be limited in both quantity and quality for fully assessing the functional
correctness of the generated code.",Correctness,0.5841865539550781
187,2305.01210v3.pdf,"2.3
Program Input Contracts
The goal of evaluating code synthesis is to check whether the synthesized code accurately reflects the
desired user intent.",Correctness,0.6360674500465393
188,2305.01210v3.pdf,"2.3
Program Input Contracts
The goal of evaluating code synthesis is to check whether the synthesized code accurately reflects the
desired user intent.",Human-Perceived Accuracy,0.5557646155357361
190,2305.01210v3.pdf,"The prior sections demonstrated how to improve the test
inputs used to more rigorously evaluate the synthesized code.",Correctness,0.5698678493499756
196,2305.01210v3.pdf,"Table 4 performs leave-one-out cross
validation to show the pass@1⋆differences over a subset of representative models studied in Table 3
(due to time/space constraints).",Benchmark Performance,0.6033662557601929
198,2305.01210v3.pdf,"LLM-based code synthesis is largely evaluated based on functional
correctness, which is typically assessed by running test-cases to check the desired outputs.",Correctness,0.5641860961914062
201,2305.01210v3.pdf,Dafny: An automatic program verifier for functional correctness.,Correctness,0.5504527688026428
208,2305.01210v3.pdf,"In 2011 IEEE 22nd International Symposium on Software Reliability Engineering,
pages 170–179.",Error Propagation,0.5726797580718994
212,clinpract-13-00104.pdf,"However, prior to the integration of
these models into clinical practice, it is imperative to ascertain their effectiveness, accuracy,
and reliability.",Benchmark Performance,0.5713337659835815
213,clinpract-13-00104.pdf,"Nevertheless, before
incorporating these models into practical healthcare settings, a thorough assessment of
their effectiveness, precision, and dependability is imperative.",Benchmark Performance,0.587954044342041
215,clinpract-13-00104.pdf,"While the results are promising, this
study reveals variations in performance among the tested models.",Benchmark Performance,0.5922861695289612
217,clinpract-13-00104.pdf,"Future studies could
delve into the underlying factors contributing to the models’ successes and limitations,
offering a more comprehensive understanding of their functioning.",Benchmark Performance,0.5703998804092407
219,Journal of Nutrition and Metabolism - 2023 - Kirk - Comparison of Answers between ChatGPT and Human Dieticians to Common.pdf,"Comprehensibility
How well the answer could be expected to be understood by the layman.",Human-Perceived Accuracy,0.6121839880943298
222,2308.04838v2.pdf,"For example, whether the code generated
by LLMs is functionally correct, complex, and secure.",Correctness,0.5514188408851624
223,2308.04838v2.pdf,"For example, whether the code generated
by LLMs is functionally correct, complex, and secure.",Human-Perceived Accuracy,0.5653510689735413
