File,Text Segment,Code,Score
3593434.3594236.pdf,"These models are usually
trained on large datasets that are divided into smaller units, known
as tokens, utilizing either an open or closed vocabulary system.",Inference Workload,0.5000215768814087
3593434.3594236.pdf,"The
selection of a tokenization method can have a profound impact on
the number of tokens generated, which in turn can significantly
influence the performance of the model.",Inference Workload,0.6106057167053223
3593434.3594236.pdf,"The results indicate that the choice
of tokenization method can significantly impact the number of
sub-tokens generated, which can ultimately influence the modeling
performance of a model.",Inference Workload,0.5894782543182373
3593434.3594236.pdf,"It could signif-
icantly impact the model’s performance if a tokenization method
generates many unknown tokens or produces a large number of
398
EASE ’23, June 14–16, 2023, Oulu, Finland
Hussain et al.",Inference Workload,0.5872193574905396
3593434.3594236.pdf,"Several unknown tokens could falsely boost the
performance of a model, whereas a larger number of unique tokens
could significantly impact the computational and training time cost
of a model.",Inference Workload,0.6224600672721863
3593434.3594236.pdf,"The resulting tokens are then used as the vocabulary for a deep-
learning model.",Inference Workload,0.5106076002120972
3593434.3594236.pdf,"This affects a model’s performance by
wrongly boosting its accuracy and significantly increasing the possi-
bility of generating unknown tokens.",Inference Workload,0.5341055393218994
3593434.3594236.pdf,"We train these tokenizers (pro-
posed and baselined) with a maximum limit of the given vocabulary
size which means the training process continues until it hits the tar-
get size.",Inference Workload,0.5238661766052246
3593434.3594236.pdf,"While comparing against
these models, we simply load and test the pre-trained tokenizers
provided by these models.",Inference Workload,0.5229936838150024
3593434.3594236.pdf,"Our analysis aims to investigate the
number of tokens (sub-tokens) produced by each model, and
the generation of unknown tokens.",Inference Workload,0.6224625110626221
3593434.3594236.pdf,"Our analysis aims to investigate
the number of tokens (sub-tokens) generated by each model,
the production of unknown tokens, and the time required
for tokenization.",Inference Workload,0.6316312551498413
3593434.3594236.pdf,"For a fair comparison, we
trained our proposed tokenizer with a vocabulary size of
50000.",Inference Workload,0.5041826963424683
3593434.3594236.pdf,"Further, during the analysis, we are interested in ana-
lyzing the number of tokens (sub-tokens) generated by each
model, production of unknown tokens, and the efficiency of
token generation in terms of time.",Inference Workload,0.6758868098258972
3593434.3594236.pdf,"The results clearly indicate that the traditional
vocabulary system generates a smaller number of tokens during
the tokenization process, but with numerous unknown tokens that
could significantly impact the modeling performance of a model by
falsely boosting its performance.",Inference Workload,0.5329567193984985
3593434.3594236.pdf,"This
implies that the proposed approach is not only effective in terms of
tokenization performance, but it is also efficient in terms of time
cost when compared to these baselines.",Inference Workload,0.5130086541175842
3593434.3594236.pdf,"[19] proposed an architecture that combines code under-
standing and generating tasks and pre-trains a transformers model
to predict the token and its type simultaneously, enhancing token
prediction.",Inference Workload,0.5096954107284546
2501.05899v1.pdf,"Prompt engineering and its implications on the
energy consumption of Large Language Models
Riccardo Rubei
University of L’Aquila
L’Aquila, Italy
riccardo.rubei@univaq.it
Aicha Moussaid
University of L’Aquila
L’Aquila, Italy
aicha.moussaid@student.univaq.it
Claudio Di Sipio
University of L’Aquila
L’Aquila, Italy
claudio.disipio@univaq.it
Davide Di Ruscio
University of L’Aquila
L’Aquila, Italy
davide.diruscio@univaq.it
Abstract—Reducing the environmental impact of AI-based
software systems has become critical.",Inference Workload,0.5982998609542847
2501.05899v1.pdf,"Even though a
more in-depth evaluation is needed to confirm our findings, this
work suggests that prompt engineering can reduce LLMs’ energy
consumption during the inference phase without compromising
performance, paving the way for further investigations.",Model Size,0.520380973815918
2501.05899v1.pdf,"Even though a
more in-depth evaluation is needed to confirm our findings, this
work suggests that prompt engineering can reduce LLMs’ energy
consumption during the inference phase without compromising
performance, paving the way for further investigations.",Inference Workload,0.5003133416175842
2501.05899v1.pdf,"While a plethora of approaches have been proposed to
measure the impact on the hardware [13], we focus on the
usage of prompt engineering techniques (PETs) to mitigate
the energy consumption of LLMs during the inference phase
while supporting the code completion task.",Model Optimization Techniques,0.5207690000534058
2501.05899v1.pdf,"Afterward, we
compare these baseline prompts with an enhanced version
using additional tags that we introduced to help the inference
phase of the model.",Inference Workload,0.5253925323486328
2501.05899v1.pdf,"Our findings reveal that the energy consumption of LLMs
for the inference phase can be reduced by using the introduced
custom tags.",Model Size,0.5151448249816895
2501.05899v1.pdf,"Therefore, measuring
the energy consumption in terms of carbon emissions is
particularly challenging in those environments due to several
factors, e.g., parallel jobs or the non-exclusive use of the
cluster.",Deployment Environment,0.594508707523346
2501.05899v1.pdf,"Figure 1 shows the carbon
emissions of the GPT-3 model in different server regions for
three big IT players, i.e., Google, Amazon, and Microsoft.",Deployment Environment,0.5718326568603516
2501.05899v1.pdf,"To address the environmental impact of software, a range of
energy monitoring tools [5], [6] has been recently developed to
measure the carbon emissions associated with code execution.",System Configuration,0.5310031175613403
2501.05899v1.pdf,"Among these, the CodeCarbon tool [16] is a widely adopted
Python library that estimates the energy consumption of code
executions.",System Configuration,0.5977165102958679
2501.05899v1.pdf,"Among these, the CodeCarbon tool [16] is a widely adopted
Python library that estimates the energy consumption of code
executions.",Model Optimization Techniques,0.5519921779632568
2501.05899v1.pdf,"It can also calculate the carbon footprint by
measuring the electricity power consumption of the underlying
hardware architecture, i.e., GPU, CPU, and RAM.",Hardware Efficiency,0.655051052570343
