,File,Text Segment,Code,Score
1,3593434.3594236.pdf,"The
selection of a tokenization method can have a profound impact on
the number of tokens generated, which in turn can significantly
influence the performance of the model.",Inference Workload,0.6106057167053223
2,3593434.3594236.pdf,"The results indicate that the choice
of tokenization method can significantly impact the number of
sub-tokens generated, which can ultimately influence the modeling
performance of a model.",Inference Workload,0.5894782543182373
3,3593434.3594236.pdf,"It could signif-
icantly impact the model’s performance if a tokenization method
generates many unknown tokens or produces a large number of
398
EASE ’23, June 14–16, 2023, Oulu, Finland
Hussain et al.",Inference Workload,0.5872193574905396
4,3593434.3594236.pdf,"Several unknown tokens could falsely boost the
performance of a model, whereas a larger number of unique tokens
could significantly impact the computational and training time cost
of a model.",Inference Workload,0.6224600672721863
9,3593434.3594236.pdf,"Our analysis aims to investigate the
number of tokens (sub-tokens) produced by each model, and
the generation of unknown tokens.",Inference Workload,0.6224625110626221
10,3593434.3594236.pdf,"Our analysis aims to investigate
the number of tokens (sub-tokens) generated by each model,
the production of unknown tokens, and the time required
for tokenization.",Inference Workload,0.6316312551498413
12,3593434.3594236.pdf,"Further, during the analysis, we are interested in ana-
lyzing the number of tokens (sub-tokens) generated by each
model, production of unknown tokens, and the efficiency of
token generation in terms of time.",Inference Workload,0.6758868098258972
16,2501.05899v1.pdf,"Prompt engineering and its implications on the
energy consumption of Large Language Models
Riccardo Rubei
University of L’Aquila
L’Aquila, Italy
riccardo.rubei@univaq.it
Aicha Moussaid
University of L’Aquila
L’Aquila, Italy
aicha.moussaid@student.univaq.it
Claudio Di Sipio
University of L’Aquila
L’Aquila, Italy
claudio.disipio@univaq.it
Davide Di Ruscio
University of L’Aquila
L’Aquila, Italy
davide.diruscio@univaq.it
Abstract—Reducing the environmental impact of AI-based
software systems has become critical.",Inference Workload,0.5982998609542847
22,2501.05899v1.pdf,"Therefore, measuring
the energy consumption in terms of carbon emissions is
particularly challenging in those environments due to several
factors, e.g., parallel jobs or the non-exclusive use of the
cluster.",Deployment Environment,0.594508707523346
23,2501.05899v1.pdf,"Figure 1 shows the carbon
emissions of the GPT-3 model in different server regions for
three big IT players, i.e., Google, Amazon, and Microsoft.",Deployment Environment,0.5718326568603516
25,2501.05899v1.pdf,"Among these, the CodeCarbon tool [16] is a widely adopted
Python library that estimates the energy consumption of code
executions.",System Configuration,0.5977165102958679
26,2501.05899v1.pdf,"Among these, the CodeCarbon tool [16] is a widely adopted
Python library that estimates the energy consumption of code
executions.",Model Optimization Techniques,0.5519921779632568
27,2501.05899v1.pdf,"It can also calculate the carbon footprint by
measuring the electricity power consumption of the underlying
hardware architecture, i.e., GPU, CPU, and RAM.",Hardware Efficiency,0.655051052570343
28,2501.05899v1.pdf,"It can also calculate the carbon footprint by
measuring the electricity power consumption of the underlying
hardware architecture, i.e., GPU, CPU, and RAM.",System Configuration,0.5638620853424072
29,2501.05899v1.pdf,"It can also calculate the carbon footprint by
measuring the electricity power consumption of the underlying
hardware architecture, i.e., GPU, CPU, and RAM.",Deployment Environment,0.6017929911613464
31,2501.05899v1.pdf,"This study focuses on the energy
consumption related to GPU usage without considering the
carbon emission.",Hardware Efficiency,0.614161491394043
