Authors,Title,Publication,Year,Publisher
"Mondorf, Philipp; Plank, Barbara; ",Beyond Accuracy: Evaluating the Reasoning Behavior of Large Language Models--A Survey,arXiv preprint arXiv:2404.01869,2024,
"Li, Zongjie; Qiu, Wenying; Ma, Pingchuan; Li, Yichen; Li, You; He, Sijia; Jiang, Baozheng; Wang, Shuai; Gu, Weixi; ",An empirical study on large language models in accuracy and robustness under chinese industrial scenarios,arXiv preprint arXiv:2402.01723,2024,
"Hershenhouse, Jacob S; Mokhtar, Daniel; Eppler, Michael B; Rodler, Severin; Storino Ramacciotti, Lorenzo; Ganjavi, Conner; Hom, Brian; Davis, Ryan J; Tran, John; Russo, Giorgio Ivan; ","Accuracy, readability, and understandability of large language models for prostate cancer information to the public",Prostate Cancer and Prostatic Diseases,2024,Nature Publishing Group UK London
"Kollitsch, Lisa; Eredics, Klaus; Marszalek, Martin; Rauchenwald, Michael; Brookman-May, Sabine D; Burger, Maximilian; Körner-Riffard, Katharina; May, Matthias; ",How does artificial intelligence master urological board examinations? A comparative analysis of different Large Language Models’ accuracy and reliability in the 2022 In-Service Assessment of the European Board of Urology,World Journal of Urology,2024,Springer
"Min, Marcus J; Ding, Yangruibo; Buratti, Luca; Pujar, Saurabh; Kaiser, Gail; Jana, Suman; Ray, Baishakhi; ",Beyond accuracy: Evaluating self-consistency of code large language models with identitychain,arXiv preprint arXiv:2310.14053,2023,
"Huang, Liangjie; Li, Dawei; Liu, Huan; Cheng, Lu; ",Beyond Accuracy: The Role of Calibration in Self-Improving Large Language Models,arXiv preprint arXiv:2504.02902,2025,
"Calais, Pedro; Franco, Gabriel; Nikas, Themistoklis; Tang, Zilu; Crovella, Mark; Meira Jr, Wagner; Terzi, Evimaria; ",Beyond accuracy: understanding the performance of LLMs on exams designed for humans,,2024,
"Velasco, Alejandro; ",Beyond Accuracy: Evaluating Source Code Capabilities in Large Language Models for Software Engineering,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,2024,
"Ahmed, Mahdi Aben; ",From Text to Understanding the Inner Text: LLMs and Translation Accuracy and Fluency,International Journal of Language and Literary Studies,2025,
"Malghan, Arjun R; ",Evaluating Computational Accuracy of Large Language Models in Numerical Reasoning Tasks for Healthcare Applications,arXiv preprint arXiv:2501.13936,2025,
"Rahimli Ocakoglu, Sakine; Coskun, Burhan; ",The emerging role of ai in patient education: a comparative analysis of the accuracy of large language models for pelvic organ prolapse,Medical Principles and Practice,2024,
"Azimi, Iman; Qi, Mohan; Wang, Li; Rahmani, Amir M; Li, Youlin; ",Evaluation of LLMs accuracy and consistency in the registered dietitian exam through prompt engineering and knowledge retrieval,Scientific Reports,2025,Nature Publishing Group UK London
"Li, Zongjie; Qiu, Wenying; Ma, Pingchuan; Li, Yichen; Li, You; He, Sijia; Jiang, Baozheng; Wang, Shuai; Gu, Weixi; ",On the Accuracy and Robustness of Large Language Models in Chinese Industrial Scenarios,2024 23rd ACM/IEEE International Conference on Information Processing in Sensor Networks (IPSN),2024,IEEE
"Yang, Yifan; Jin, Qiao; Zhu, Qingqing; Wang, Zhizheng; Erramuspe Álvarez, Francisco; Wan, Nicholas; Hou, Benjamin; Lu, Zhiyong; ",Beyond Multiple-Choice Accuracy: Real-World Challenges of Implementing Large Language Models in Healthcare,Annual Review of Biomedical Data Science,2024,Annual Reviews
"Yu, Yongda; Rong, Guoping; Shen, Haifeng; Zhang, He; Shao, Dong; Wang, Min; Wei, Zhao; Xu, Yong; Wang, Juhong; ",Fine-tuning large language models to improve accuracy and comprehensibility of automated code review,ACM transactions on software engineering and methodology,2024,"ACM New York, NY"
"Sai, Arvapelly Aryan; Vignesh, Sai; SV, Sai Hemanth; Baruah, Pallav Kumar; ",Comparing Accuracy and Consistency: LLMs vs. SOTA Deep Learning Models in Text-to-SQL,"2024 IEEE 31st International Conference on High Performance Computing, Data and Analytics Workshop (HiPCW)",2024,IEEE
"Kim, Kwanho; Kim, Soojong; ",Large Language Models’ Accuracy in Emulating Human Experts’ Evaluation of Public Sentiments about Heated Tobacco Products on Social Media: Evaluation Study,Journal of Medical Internet Research,2025,"JMIR Publications Toronto, Canada"
"Zahraei, Pardis Sadat; Shakeri, Zahra; ",Detecting Bias and Enhancing Diagnostic Accuracy in Large Language Models for Healthcare,arXiv preprint arXiv:2410.06566,2024,
"Garg, Varun; Vashishtha, Dr Sangeet; ",Implementing Large Language Models to Enhance Catalog Accuracy in Retail,"International Journal of Research Radicals in Multidisciplinary Fields, ISSN",2024,
"Naeve, Zachary; Mitchell, Lawrence; Reed, Christopher; Campbell, Phillip; Morgan, Thomas; Rogers, Vincent; ",Introducing dynamic token embedding sampling of large language models for improved inference accuracy,Authorea Preprints,2024,Authorea
"Ke, Yu He; Yang, Rui; Lie, Sui An; Lim, Taylor Xin Yi; Abdullah, Hairil Rizal; Ting, Daniel Shu Wei; Liu, Nan; ",Enhancing diagnostic accuracy through multi-agent conversations: using large language models to mitigate cognitive bias,arXiv preprint arXiv:2401.14589,2024,
"Hendawi, Samar; Kanan, Tarek; Elbes, Mohammed; Mughaid, Ala; AlZu’bi, Shadi; ",Automated Prompt Engineering Pipelines: Fine-Tuning Llms for Enhanced Response Accuracy,Available at SSRN 5004054,,
"De Busser, Branco; Roth, Lynn; De Loof, Hans; ",The role of large language models in self-care: a study and benchmark on medicines and supplement guidance accuracy,International Journal of Clinical Pharmacy,2024,Springer
"Woo, Joshua J; Yang, Andrew J; Olsen, Reena J; Hasan, Sayyida S; Nawabi, Danyal H; Nwachukwu, Benedict U; Williams Iii, Riley J; Ramkumar, Prem N; ",Custom Large Language Models Improve Accuracy: Comparing Retrieval Augmented Generation and Artificial Intelligence Agents to Noncustom Models for Evidence-Based Medicine,Arthroscopy: The Journal of Arthroscopic & Related Surgery,2025,Elsevier
"Dai, Zhang-Yi; Wang, Fu-Qiang; Shen, Cheng; Ji, Yan-Li; Li, Zhi-Yang; Wang, Yun; Pu, Qiang; ",Accuracy of Large Language Models for Literature Screening in Thoracic Surgery: Diagnostic Study,Journal of Medical Internet Research,2025,"JMIR Publications Toronto, Canada"
"Azimi, Iman; Qi, Mohan; Wang, Li; Rahmani, Amir M; Li, Youlin; ",Accuracy and Consistency of LLMs in the Registered Dietitian Exam: The Impact of Prompt Engineering and Knowledge Retrieval,arXiv preprint arXiv:2408.02964,2024,
"Patel, Het; Rehman, Umair; Iqbal, Farkhund; ",Large language models spot phishing emails with surprising accuracy: A comparative analysis of performance,arXiv e-prints,2024,
"Singhal, Aryan; Shao, Veronica; Sun, Gary; Ding, Ryan; Lu, Jonathan; Zhu, Kevin; ",A Comparative Study of Translation Bias and Accuracy in Multilingual Large Language Models for Cross-Language Claim Verification,arXiv preprint arXiv:2410.10303,2024,
"Fiskin, Stanley; Sorensen, Galen; Faber, Konrad; Linton, Tobias; Durand, Raphael; ",Dimensional drift reinforcement in large language models for enhanced contextual accuracy across task domains,,2024,OSF
"Li, David; Gupta, Kartik; Bhaduri, Mousumi; Sathiadoss, Paul; Bhatnagar, Sahir; Chong, Jaron; ",Comparative diagnostic accuracy of GPT-4o and LLaMA 3-70b: Proprietary vs. open-source large language models in radiology,Clinical Imaging,2025,Elsevier
"Syed, Usman; Light, Ethan; Guo, Xingang; Zhang, Huan; Qin, Lianhui; Ouyang, Yanfeng; Hu, Bin; ","Benchmarking the capabilities of large language models in transportation system engineering: Accuracy, consistency, and reasoning behaviors",arXiv preprint arXiv:2408.08302,2024,
"Luo, Yuan; Miao, Yiqun; Zhao, Yuhan; Li, Jiawei; Chen, Yuling; Yue, Yuexue; Wu, Ying; ",Comparing the Accuracy of Two Generated Large Language Models in Identifying Health-Related Rumors or Misconceptions and the Applicability in Health Science Popularization: Proof-of-Concept Study,JMIR Formative Research,2024,"JMIR Publications Toronto, Canada"
"Otieno, Denish Omondi; Abri, Faranak; Siami-Namini, Sima; Namin, Akbar Siami; ",The Accuracy of Domain Specific and Descriptive Analysis Generated by Large Language Models,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",2024,IEEE
"Barabucci, Gioele; Shia, Victor; Chu, Eugene; Harack, Benjamin; Laskowski, Kyle; Fu, Nathan; ",Combining Multiple Large Language Models Improves Diagnostic Accuracy,NEJM AI,2024,Massachusetts Medical Society
"Cecchini, David; Nazir, Arshaan; Chakravarthy, Kalyan; Kocaman, Veysel; ","Holistic evaluation of large language models: Assessing robustness, accuracy, and toxicity for real-world applications",Proceedings of the 4th Workshop on Trustworthy Natural Language Processing (TrustNLP 2024),2024,
"Bai, Yuzhe; Sun, Min; Zhang, Liman; Wang, Yinong; Liu, Sihan; Liu, Yanqiu; Tan, Jingling; Yang, Yingqiu; Lv, Chunli; ",Enhancing Network Attack Detection Accuracy through the Integration of Large Language Models and Synchronized Attention Mechanism,Applied Sciences,2024,MDPI
"Ocakoğlu, Sakine Rahimli; Coşkun, Burhan; ",The emerging role of ai in patient education: A comparative analysis of the accuracy of large language models for pelvic organ prolapse,,2024,Karger
"Zhang, Shuili; Mu, Hongzhang; Liu, Tingwen; ",Improving Accuracy and Generalizability via Multi-Modal Large Language Models Collaboration,2024 International Joint Conference on Neural Networks (IJCNN),2024,IEEE
"Li, Po-hao; Lai, Ya-yun; ",Augmenting Large Language Models with Reverse Proxy Style Retrieval Augmented Generation for Higher Factual Accuracy,,2024,OSF
"Sava, D; ",Text-based classification of websites using self-hosted Large Language Models: An accuracy and efficiency analysis,,2024,University of Twente
"Husom, Erik Johannes; Goknil, Arda; Astekin, Merve; Shar, Lwin Khin; Kåsen, Andre; Sen, Sagar; Mithassel, Benedikt Andreas; Soylu, Ahmet; ","Sustainable LLM Inference for Edge AI: Evaluating Quantized LLMs for Energy Efficiency, Output Accuracy, and Inference Latency",arXiv preprint arXiv:2504.03360,2025,
"Cuconasu, Florin; Trappolini, Giovanni; Tonellotto, Nicola; Silvestri, Fabrizio; ",A Tale of Trust and Accuracy: Base vs. Instruct LLMs in RAG Systems,arXiv preprint arXiv:2406.14972,2024,
"Chen, Zhongzhou; Wan, Tong; ",Grading explanations of problem-solving process and generating feedback using large language models at human-level accuracy,Physical Review Physics Education Research,2025,APS
"Liu, Dou; Long, Ying; Zuoqiu, Sophia; Tang, Tian; Yin, Rong; ",Evaluating the Feasibility and Accuracy of Large Language Models for Medical History-Taking in Obstetrics and Gynecology,arXiv preprint arXiv:2504.00061,2025,
"Honda, Suguru; Ikari, Katsunori; Fujisaki, Mayuko; Tanaka, Eiichi; Harigai, Masayoshi; ",Fine-tuning and pre-training improve the predictive accuracy of large language models for rheumatoid arthritis disease activity,medRxiv,2024,Cold Spring Harbor Laboratory Press
"Kaba, Esat; Bülbül, Hande Melike; Burakgazi, Gülen; Varlık, AT; Hürsoy, N; Solak, M; Tabakoğlu, S; Çeliker, Fatma Beyazal; ","Large language models on magnetic resonance imaging safety-related questions: accuracy of ChatGPT-3.5, ChatGPT-4, Gemini, and Perplexity",Curr. Res. MRI,2024,
"Goglia, Marta; Cicolani, Arianna; Carrano, Francesco Maria; Petrucciani, Niccolò; D’Angelo, Francesco; Pace, Marco; Chiarini, Lucio; Silecchia, Gianfranco; Aurello, Paolo; ",Using Large Language Models in the Diagnosis of Acute Cholecystitis: Assessing Accuracy and Guidelines Compliance,The American Surgeon™,2025,"SAGE Publications Sage CA: Los Angeles, CA"
"Chen, Zhongzhou; Wan, Tong; ",Using Large Language Models to Assign Partial Credits to Students' Problem-Solving Process: Grade at Human Level Accuracy with Grading Confidence Index and Personalized Student-facing Feedback,arXiv preprint arXiv:2412.06910,2024,
"Jiang, Baozheng; Zhang, Haoxiang; Li, Yanxia; Zhou, Hexiao; Xiao, Zexiao; He, Sijia; Qiu, Wenying; Li, You; ",A Practical Investigation of the Accuracy of Large Language Models in Various Industrial Application Scenarios,Proceedings of the First International Workshop on IoT Datasets for Multi-modal Large Model,2024,
"GAITAN, Nicoleta Cristina; ",Performance and Accuracy Research of the Large Language Models.,International Journal of Advanced Computer Science & Applications,2024,
"Carlo, Michele; Takeuchi, Osamu; ","High-accuracy, privacy-compliant multilingual sentiment categorization on consumer-grade hardware: A monte carlo evaluation of locally deployed large language models",Digital Applied Linguistics,2025,
"Lee, Kuan Heng; Lai, Mee Sim; Lim, Shin Wei; Teh, Jocelyn Shuang Ru; Nizam, Syafie; Nee, Yuan Kuok; Koay, Eng Keong; Lee, Meng Siong; ","Methodologies for Selecting Optimal Hardware for Locally Deployed LLMs Using a Performance, Accuracy and Cost (PAC) Approach",2024 2nd International Conference on Foundation and Large Language Models (FLLM),2024,IEEE
"Davenport, Mark J; ","Enhancing Legal Document Analysis with Large Language Models: A Structured Approach to Accuracy, Context Preservation, and Risk Mitigation",Open Journal of Modern Linguistics,2025,Scientific Research Publishing
"Crucerescu, Sandu; Falk, Ingmar; ",Evaluating accuracy and development effort of code translated with transpilers and LLMs: Focusing on Delphi to C,,2024,
"Alizadeh, Negar; Belchev, Boris; Saurabh, Nishant; Kelbert, Patricia; Castor, Fernando; ",Analyzing the Energy and Accuracy of LLMs in Software Development,arXiv e-prints,2024,
"Thornton, Abigail; ",Few-Shot and Zero-Shot Learning in LLMs: Benchmarking Accuracy and Generalization,,2024,
"Yadav, Govind; ",Enhancing the Accuracy of Large Language Models in Biomedical Research through Knowledge Graph Integration: GenoQueryAI,,2024,University of Cincinnati
"Sun, Aryan Singhal Veronica Shao Gary; Lu, Ryan Ding Jonathan; Zhu, Kevin; ",A Comparative Study of Translation Bias and Accuracy in Multilingual Large Language Models for Cross-Language Claim Verification,,,
"Suhardi, Nicolas Matthew; Oktarina, Anastasia; Bostrom, Mathias PG; Yang, Xu; Suhardi, Vincentius Jeremy; ",Database-Augmented Transformer-Based Large Language Models Achieve High Accuracy in Mapping Gene-Phenotype Relationships,bioRxiv,2025,Cold Spring Harbor Laboratory
"Jannumahanti, Aayush; ","Quantized Large Language Models for Mental Health Applications: A Benchmark Study on Efficiency, Accuracy and Resource Allocation",,2024,"University of Maryland, Baltimore County"
"Segala, Andrea; ",Large Language Models as Knowledge Graph Accuracy Estimators: An Exploratory Analysis,,2024,
"Zhao, Zimo; Hu, Lin; Wang, Honghui; ",Predicting Catalytic Properties of Transition Metal Sulfides Using Fine-Tuned Large Language Models: A High-Accuracy Approach for Band Gap and Predicted Stable Estimation,Available at SSRN 5202420,,
"Abujaber, Ahmad; Nashwan, Abdulqadir; ",Leveraging Large Language Models to Improve Triage Accuracy in Emergency Departments,,,
"Antiperovitch, Pavel; Liu, Iris; Mokhtar, Ahmed T; Tang, Anthony; ","Evaluating Large Language Models in Cardiovascular Antithrombotic Care: Performance, Accuracy, and Implications for Clinical Practice",Canadian Journal of Cardiology,2025,Elsevier
"Ullah, Ehsan; Waqas, Asim; Khan, Asma; Khalil, Farah; Ozturk, Zarifa Gahramanli; Chumbalkar, Vaibhav; Saeed-Vafa, Daryoush; Jameel, Zena; Chen, Weishen; Bittar, Humberto Trejo; ",Reasoning Beyond Accuracy: Expert Evaluation of Large Language Models in Diagnostic Pathology,medRxiv,2025,Cold Spring Harbor Laboratory Press
"Vadlapati, Praneeth; ",Multilingual Prompting in LLMs: Investigating the Accuracy and Performance,,2023,
Arvapelly Aryan Sai; Sai Vignesh; Sai Hemanth S V; Pallav Kumar Baruah,Comparing Accuracy and Consistency: LLMs vs. SOTA Deep Learning Models in Text-to-SQL,,,IEEE
Shuili Zhang; Hongzhang Mu; Tingwen Liu,Improving Accuracy and Generalizability via Multi-Modal Large Language Models Collaboration,,,IEEE
"Hershenhouse JS, Mokhtar D, Eppler MB, Rodler S, Storino Ramacciotti L, Ganjavi C, Hom B, Davis RJ, Tran J, Russo GI, Cocci A, Abreu A, Gill I, Desai M, Cacciamani GE.","Accuracy, readability, and understandability of large language models for prostate cancer information to the public",,,PubMed
"De Busser B, Roth L, De Loof H.",The role of large language models in self-care: a study and benchmark on medicines and supplement guidance accuracy,,,PubMed
"Yu, Yongda and Rong, Guoping and Shen, Haifeng and Zhang, He and Shao, Dong and Wang, Min and Wei, Zhao and Xu, Yong and Wang, Juhong",Fine-Tuning Large Language Models to Improve Accuracy and Comprehensibility of Automated Code Review,,,ACM
"Jiang, Baozheng and Zhang, Haoxiang and Li, Yanxia and Zhou, Hexiao and Xiao, Zexiao and He, Sijia and Qiu, Wenying and Li, You",A Practical Investigation of the Accuracy of Large Language Models in Various Industrial Application Scenarios,,,ACM
"Velasco, Alejandro",Beyond Accuracy: Evaluating Source Code Capabilities in Large Language Models for Software Engineering,,,ACM
